Recording	Participant	age_group	gender	Timeline	TOI	Interval	Media	calorie	AOI	product_attributes	purchase_decision	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	name	name			1588	176	83	317	9	71012	317	picture		2.8701	1588	176	83	317	9	71012	317	2.8701	1722	344	267	433	5	71012	317	1838	368	300	467	5	70995	333	0			0			2	70995		93.65													
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	name	name			1334	191	67	633	7	61444	84	picture		2.94477	1250	208	67	633	6	63978	117	2.95427	1434	358	84	1033	4	61444	84	1517	379	84	1050	4	61444	84	0			0			2	63945	64095	73.52													
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	not-buy		not-buy		158	79	75	83	2	94076	83	picture		2.87027	83	83	83	83	1	94076	83	2.92875	158	79	75	83	2	94076	83	242	121	100	142	2	94060	100	1	96985	2909	0			0																
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	not-buy		not-buy		0				0			picture			0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	not-buy		not-buy		200	200	200	200	1	84255	200	picture		2.9155	200	200	200	200	1	84255	200	2.9155	200	200	200	200	1	84255	200	217	217	217	217	1	84238	217	1	85461	1206	0			0																
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	not-buy		not-buy		0				0			picture			0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	not-buy		not-buy		100	100	100	100	1	62311	100	picture		3.00173	100	100	100	100	1	62311	100	3.00173	100	100	100	100	1	62311	100	133	133	133	133	1	62278	133	0			0			0																
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	Nutrition	specifications			1833	108	67	200	17	89255	100	picture		2.90096	1833	108	67	200	17	89255	100	2.90096	3921	1307	1100	1655	3	89255	1655	4038	1346	1133	1705	3	89205	1705	0			0			6	89205		309.85													
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	Nutrition	specifications			200	100	67	133	2	98210	133	picture		3.00556	200	100	67	133	2	98210	133	3.00556	200	100	67	133	2	98210	133	350	175	150	200	2	98143	200	0			0			0	98143		238.97													
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	Nutrition	specifications			1797	128	83	217	14	78800	100	picture		2.82331	1650	127	83	217	13	78800	100	2.81641	2964	741	133	1667	4	78800	1667	3097	774	150	1683	4	78783	1683	0			0			4	85271		353.71													
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	Nutrition	specifications			183	183	183	183	1	75951	183	picture		2.78639	183	183	183	183	1	75951	183	2.78639	183	183	183	183	1	75951	183	216	216	216	216	1	75917	216	0			0			0																
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	Nutrition	specifications			450	150	83	250	3	62995	117	picture		2.93216	450	150	83	250	3	62995	117	2.93216	700	350	250	450	2	62995	450	800	400	333	466	2	62978	466	0			0			0		65612														
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	picture	Picture			552	184	117	286	3	87735	286	picture		2.86913	267	133	117	150	2	89055	150	2.80819	552	184	117	286	3	87735	286	652	217	167	286	3	87735	286	0			0			0	96577	89205	416.29													
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	picture	Picture			2896	161	67	467	18	97585	275	picture		2.88534	2516	157	67	467	16	100680	117	2.88863	3979	796	104	2117	5	97585	275	4179	836	171	2133	5	97585	275	0			0			5	102747	101697	341.31													
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	picture	Picture			865	173	67	415	5	77035	415	picture		2.70742	450	113	67	167	4	77650	67	2.71087	1215	405	133	915	3	77035	915	1331	444	200	915	3	77035	915	0			0			0	78450	85271	197.76													
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	picture	Picture			1085	121	67	167	9	70545	167	picture		2.85687	967	121	67	167	8	70545	167	2.87123	1419	284	119	517	5	70545	450	1552	310	167	533	5	70528	467	0			0			1		70995														
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	picture	Picture			2497	166	83	367	15	60402	174	picture		2.894	2217	171	83	367	13	60592	83	2.90641	2931	266	83	583	11	60402	507	3431	312	100	600	11	60402	507	0			0			1	65612	61795	374.86													
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	price	specifications			333	167	100	233	2	91627	100	picture		2.93823	333	167	100	233	2	91627	100	2.93823	383	383	383	383	1	91627	383	400	400	400	400	1	91610	400	0			0			0		92010														
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	price	specifications			0				0			picture			0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	price	specifications			0				0			picture			0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	price	specifications			0				0			picture			0				0				0				0			0				0			0			0			0																
Recording3	p03	18-25	female	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	price	specifications			83	83	83	83	1	64479	83	picture		2.77363	83	83	83	83	1	64479	83	2.77363	83	83	83	83	1	64479	83	100	100	100	100	1	64462	100	0			0			0		64562														
