# timestamps [seconds],pts
329369.603412,1040953
329369.636923,1043149
329369.670433,1045345
329369.703944,1047541
329369.737454,1049737
329369.770964,1051933
329369.804475,1054129
329369.837985,1056326
329369.871496,1058522
329369.905006,1060718
329369.938516,1062914
329369.972027,1065110
329370.005537,1067306
329370.039048,1069502
329370.072558,1071698
329370.106068,1073894
329370.139579,1076090
329370.173089,1078287
329370.206600,1080483
329370.240110,1082679
329370.273620,1084875
329370.307131,1087071
329370.340641,1089267
329370.374152,1091463
329370.407662,1093659
329370.441172,1095855
329370.474683,1098052
329370.508193,1100248
329370.541704,1102444
329370.575214,1104640
329370.608724,1106836
329370.642235,1109032
329370.675745,1111228
329370.709256,1113424
329370.742766,1115620
329370.776276,1117816
329370.809787,1120013
329370.843297,1122209
329370.876808,1124405
329370.910318,1126601
329370.943828,1128797
329370.977339,1130993
329371.010849,1133189
329371.044360,1135385
329371.077870,1137581
329371.111380,1139777
329371.144891,1141974
329371.178401,1144170
329371.211912,1146366
329371.245422,1148562
329371.278932,1150758
329371.312443,1152954
329371.345953,1155150
329371.379464,1157346
329371.412974,1159542
329371.446484,1161739
329371.479995,1163935
329371.513505,1166131
329371.547016,1168327
329371.580526,1170523
329371.614036,1172719
329371.647547,1174915
329371.681057,1177111
329371.714568,1179307
329371.748078,1181503
329371.781588,1183700
329371.815099,1185896
329371.848609,1188092
329371.882120,1190288
329371.915630,1192484
329371.949140,1194680
329371.982651,1196876
329372.016161,1199072
329372.049672,1201268
329372.083182,1203465
329372.116692,1205661
329372.150203,1207857
329372.183713,1210053
329372.217224,1212249
329372.250734,1214445
329372.284244,1216641
329372.317755,1218837
329372.351265,1221033
329372.384776,1223229
329372.418286,1225426
329372.451796,1227622
329372.485307,1229818
329372.518817,1232014
329372.552328,1234210
329372.585838,1236406
329372.619348,1238602
329372.652859,1240798
329372.686369,1242994
329372.719880,1245191
329372.753390,1247387
329372.786900,1249583
329372.820411,1251779
329372.853921,1253975
329372.887432,1256171
329372.920942,1258367
329372.954452,1260563
329372.987963,1262759
329373.021473,1264955
329373.054984,1267152
329373.088494,1269348
329373.122004,1271544
329373.155515,1273740
329373.189025,1275936
329373.222536,1278132
329373.256046,1280328
329373.289556,1282524
329373.323067,1284720
329373.356577,1286916
329373.390088,1289113
329373.423598,1291309
329373.457108,1293505
329373.490619,1295701
329373.524129,1297897
329373.557640,1300093
329373.591150,1302289
329373.624660,1304485
329373.658171,1306681
329373.691681,1308877
329373.725192,1311074
329373.758702,1313270
329373.792212,1315466
329373.825723,1317662
329373.859233,1319858
329373.892744,1322054
329373.926254,1324250
329373.959764,1326446
329373.993275,1328642
329374.026785,1330839
329374.060296,1333035
329374.093806,1335231
329374.127316,1337427
329374.160827,1339623
329374.194337,1341819
329374.227848,1344015
329374.261358,1346211
329374.294868,1348407
329374.328379,1350603
329374.361889,1352800
329374.395400,1354996
329374.428910,1357192
329374.462420,1359388
329374.495931,1361584
329374.529441,1363780
329374.562952,1365976
329374.596462,1368172
329374.629972,1370368
329374.663483,1372565
329374.696993,1374761
329374.730504,1376957
329374.764014,1379153
329374.797524,1381349
329374.831035,1383545
329374.864545,1385741
329374.898056,1387937
329374.931566,1390133
329374.965076,1392329
329374.998587,1394526
329375.032097,1396722
329375.065608,1398918
329375.099118,1401114
329375.132628,1403310
329375.166139,1405506
329375.199649,1407702
329375.233160,1409898
329375.266670,1412094
329375.300180,1414290
329375.333691,1416487
329375.367201,1418683
329375.400712,1420879
329375.434222,1423075
329375.467732,1425271
329375.501243,1427467
329375.534753,1429663
329375.568264,1431859
329375.601774,1434055
329375.635284,1436252
329375.668795,1438448
329375.702305,1440644
329375.735816,1442840
329375.769326,1445036
329375.802836,1447232
329375.836347,1449428
329375.869857,1451624
329375.903368,1453820
