Recording	Participant	Timeline	TOI	Interval	Media	Food_Category	AOI	Decision	Product_element	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording1	Participant 1	Timeline1	Chocolate cookies	1	Chocolate cookies	Dessert	Price		Price		914	228	176	338	4	16733	200	Price	Price		576	192	176	200	3	16733	200		954	477	420	534	2	16733	420	1066	533	464	602	2	16689	464	0			0			2	19485	17153	317.97					Aggregated								
Recording1	Participant 1	Timeline1	Ice cream	1	Ice cream	Dessert	I would buy	I would buy			0				0			Picture	Picture		0				0				0				0			0				0			1	12482		0			0								Aggregated								
Recording1	Participant 1	Timeline1	Ice cream	1	Ice cream	Dessert	I would not buy	I would not buy			0				0			Picture	Picture		0				0				0				0			0				0			0			0			0								Aggregated								
Recording1	Participant 1	Timeline1	Ice cream	1	Ice cream	Dessert	Ingredients		Ingredients		4708	277	168	608	17	1053	252	Picture	Picture		4708	277	168	608	17	1053	252		5248	5248	5248	5248	1	1053	5248	5324	5324	5324	5324	1	977	5324	0			0			14	977	6301	335.24					Aggregated								
Recording1	Participant 1	Timeline1	Ice cream	1	Ice cream	Dessert	Nutrition Label		Nutrition Label		3428	245	100	472	14	353	232	Picture	Picture		3428	245	100	472	14	353	232		4076	2038	232	3844	2	353	232	4256	2128	308	3948	2	277	308	0			0			10	277	585	236.88					Aggregated								
Recording1	Participant 1	Timeline1	Ice cream	1	Ice cream	Dessert	Picture		Picture		2504	250	32	836	10	0	277	Picture	Picture		2196	275	120	836	8	645	128		2820	940	277	2212	3	0	277	2932	977	277	2264	3	0	277	0			0			5	585	277	350.89					Aggregated								
Recording1	Participant 1	Timeline1	Ice cream	1	Ice cream	Dessert	Price		Price		0				0			Picture	Picture		0				0				0				0			0				0			0			0			0								Aggregated								
Recording1	Participant 1	Timeline1	Oat cookies	1	Oat cookies	Dessert	I would buy	I would buy			280	280	280	280	1	11346	280	Nutrition Label	Nutrition Label		280	280	280	280	1	11346	280		280	280	280	280	1	11346	280	332	332	332	332	1	11294	332	1	12264	918	0			0	11294	11626	230.44					Aggregated								
Recording1	Participant 1	Timeline1	Oat cookies	1	Oat cookies	Dessert	I would not buy	I would not buy			0				0			Nutrition Label	Nutrition Label		0				0				0				0			0				0			0			0			0								Aggregated								
Recording1	Participant 1	Timeline1	Oat cookies	1	Oat cookies	Dessert	Ingredients		Ingredients		5004	385	152	868	13	3038	464	Nutrition Label	Nutrition Label		5004	385	152	868	13	3038	464		5404	5404	5404	5404	1	3038	5404	5472	5472	5472	5472	1	2970	5472	0			0			10		8442						Aggregated								
Recording1	Participant 1	Timeline1	Oat cookies	1	Oat cookies	Dessert	Nutrition Label		Nutrition Label		1946	389	236	684	5	9162	312	Nutrition Label	Nutrition Label		1596	399	236	684	4	9162	312		2046	1023	610	1436	2	9162	1436	2202	1101	670	1532	2	9066	1532	0			0			3	9066	10598	281.15					Aggregated								
Recording1	Participant 1	Timeline1	Oat cookies	1	Oat cookies	Dessert	Picture		Picture		2990	249	64	660	12	0	222	Nutrition Label	Nutrition Label		2768	252	64	660	11	686	496		3338	834	222	2220	4	0	222	3514	878	222	2236	4	0	222	0			0			6	8706	222	245.95					Aggregated								
Recording1	Participant 1	Timeline1	Oat cookies	1	Oat cookies	Dessert	Price		Price		0				0			Nutrition Label	Nutrition Label		0				0				0				0			0				0			0			0			0								Aggregated								
Recording1	Participant 1	Timeline1	Pistachios	1	Pistachios	Snack	I would buy	I would buy			864	216	180	260	4	10184	216	I would not buy			864	216	180	260	4	10184	216		916	458	408	508	2	10184	508	1036	518	476	560	2	10132	560	1	14474	4290	0			2	10132	10692	223.83					Aggregated								
Recording1	Participant 1	Timeline1	Pistachios	1	Pistachios	Snack	I would not buy	I would not buy			396	396	396	396	1	13888	396	I would not buy			396	396	396	396	1	13888	396		396	396	396	396	1	13888	396	452	452	452	452	1	13832	452	0			0			0	13832		357.48					Aggregated								
Recording1	Participant 1	Timeline1	Pistachios	1	Pistachios	Snack	Ingredients		Ingredients		2276	285	112	380	8	3172	160	I would not buy			2276	285	112	380	8	3172	160		2364	591	368	884	4	3172	460	2508	627	404	912	4	3160	472	0			0			4	3160	3632	35.02					Aggregated								
Recording1	Participant 1	Timeline1	Pistachios	1	Pistachios	Snack	Nutrition Label		Nutrition Label		4720	315	144	536	15	4792	344	I would not buy			4720	315	144	536	15	4792	344		5340	5340	5340	5340	1	4792	5340	5448	5448	5448	5448	1	4684	5448	0			0			12	4684	10132	449.86					Aggregated								
Recording1	Participant 1	Timeline1	Pistachios	1	Pistachios	Snack	Picture		Picture		3168	352	196	556	9	0	556	I would not buy			2612	327	196	428	8	600	384		3360	1120	196	2888	3	0	2888	3488	1163	268	2888	3	0	2888	0			0			6	10692	2888	318.45					Aggregated								
Recording1	Participant 1	Timeline1	Pistachios	1	Pistachios	Snack	Price		Price		712	178	60	260	4	3668	200	I would not buy			712	178	60	260	4	3668	200		732	244	200	272	3	3668	200	824	275	236	296	3	3632	236	0			0			1	3632	3868	88.12					Aggregated								
Recording1	Participant 1	Timeline1	Pizza	1	Pizza	Meal	I would buy	I would buy			208	208	208	208	1	24710	208	Ingredients	Ingredients		208	208	208	208	1	24710	208		208	208	208	208	1	24710	208	256	256	256	256	1	24662	256	1	25422	712	0			0	24662	24918	286.24					Aggregated								
Recording1	Participant 1	Timeline1	Pizza	1	Pizza	Meal	I would not buy	I would not buy			164	164	164	164	1	24498	164	Ingredients	Ingredients		164	164	164	164	1	24498	164		164	164	164	164	1	24498	164	200	200	200	200	1	24462	200	0			0			0	24462	24662	171.09					Aggregated								
Recording1	Participant 1	Timeline1	Pizza	1	Pizza	Meal	Ingredients		Ingredients		14421	288	112	668	50	5110	244	Ingredients	Ingredients		14268	291	112	668	49	5110	244		15973	5324	417	14672	3	5110	14672	16189	5396	541	14740	3	5042	14740	0			0			43	5042	19782	332.09					Aggregated								
Recording1	Participant 1	Timeline1	Pizza	1	Pizza	Meal	Nutrition Label		Nutrition Label		1996	200	100	352	10	714	212	Ingredients	Ingredients		1996	200	100	352	10	714	212		2336	1168	564	1772	2	714	564	2468	1234	628	1840	2	650	628	0			0			7	650	1278	316.35					Aggregated								
Recording1	Participant 1	Timeline1	Pizza	1	Pizza	Meal	Picture		Picture		5670	515	88	2208	11	0	238	Ingredients	Ingredients		5432	543	88	2208	10	298	88		5874	1958	650	3704	3	0	650	6026	2009	650	3764	3	0	650	0			0			8	1278	650	330.11					Aggregated								
Recording1	Participant 1	Timeline1	Pizza	1	Pizza	Meal	Price		Price		0				0			Ingredients	Ingredients		0				0				0				0			0				0			0			0			0								Aggregated								
Recording1	Participant 1	Timeline1	Soup	1	Soup	Meal	I would buy	I would buy			444	222	196	248	2	24817	196	I would not buy			444	222	196	248	2	24817	196		468	468	468	468	1	24817	468	532	532	532	532	1	24753	532	0			0			1	24753	25285	331.11					Aggregated								
Recording1	Participant 1	Timeline1	Soup	1	Soup	Meal	I would not buy	I would not buy			504	252	240	264	2	27441	264	I would not buy			504	252	240	264	2	27441	264		532	532	532	532	1	27441	532	536	536	536	536	1	27437	536	1	27975	533	0			1								Aggregated								
Recording1	Participant 1	Timeline1	Soup	1	Soup	Meal	Ingredients		Ingredients		17808	330	68	1736	54	1401	348	I would not buy			17808	330	68	1736	54	1401	348		19704	9852	744	18960	2	1401	18960	19852	9926	824	19028	2	1333	19028	0			0			46	1333	20361	315.68					Aggregated								
Recording1	Participant 1	Timeline1	Soup	1	Soup	Meal	Nutrition Label		Nutrition Label		3072	279	140	604	11	20457	228	I would not buy			3072	279	140	604	11	20457	228		3332	1666	1548	1784	2	20457	1548	3532	1766	1644	1888	2	20361	1644	0			0			9	20361	22005	402.84					Aggregated								
Recording1	Participant 1	Timeline1	Soup	1	Soup	Meal	Picture		Picture		2001	200	68	444	10	0	153	I would not buy			1848	205	68	444	9	185	152		2213	738	400	1333	3	0	1333	2337	779	468	1333	3	0	1333	0			0			7	25285	1333	277.33					Aggregated								
Recording1	Participant 1	Timeline1	Soup	1	Soup	Meal	Price		Price		520	173	128	216	3	22549	176	I would not buy			520	173	128	216	3	22549	176		532	266	216	316	2	22549	316	600	300	264	336	2	22529	336	0			0			1	26645	22865	87.96					Aggregated								
Recording1	Participant 1	Timeline1	Vegan ice cream	1	Vegan ice cream	Dessert	I would buy	I would buy			404	202	188	216	2	11905	216	Picture			404	202	188	216	2	11905	216		424	424	424	424	1	11905	424	544	544	544	544	1	11785	544	1	12585	680	0			1	11785	12329	405.95					Aggregated								
Recording1	Participant 1	Timeline1	Vegan ice cream	1	Vegan ice cream	Dessert	I would not buy	I would not buy			0				0			Picture			0				0				0				0			0				0			0			0			0								Aggregated								
Recording1	Participant 1	Timeline1	Vegan ice cream	1	Vegan ice cream	Dessert	Ingredients		Ingredients		2644	378	112	828	7	1761	828	Picture			2644	378	112	828	7	1761	828		2792	2792	2792	2792	1	1761	2792	2860	2860	2860	2860	1	1693	2860	0			0			6	1693	4553	287.36					Aggregated								
Recording1	Participant 1	Timeline1	Vegan ice cream	1	Vegan ice cream	Dessert	Nutrition Label		Nutrition Label		5580	254	72	720	22	4661	240	Picture			5580	254	72	720	22	4661	240		6264	6264	6264	6264	1	4661	6264	6372	6372	6372	6372	1	4553	6372	0			0			21	4553		433.09					Aggregated								
Recording1	Participant 1	Timeline1	Vegan ice cream	1	Vegan ice cream	Dessert	Picture		Picture		1637	234	124	512	7	0	209	Picture			1428	238	124	512	6	253	140		1889	945	196	1693	2	0	1693	1949	975	256	1693	2	0	1693	0			0			4	12329	1693	319.97					Aggregated								
Recording1	Participant 1	Timeline1	Vegan ice cream	1	Vegan ice cream	Dessert	Price		Price		0				0			Picture			0				0				0				0			0				0			0			0			0								Aggregated								
Recording1	Participant 1	Timeline1	Veggie crisps	1	Veggie crisps	Snack	I would buy	I would buy			752	188	100	240	4	12199	240	Price	Price		752	188	100	240	4	12199	240		840	840	840	840	1	12199	840	896	896	896	896	1	12143	896	1	18688	6489	0			3	12143		312.16					Aggregated								
Recording1	Participant 1	Timeline1	Veggie crisps	1	Veggie crisps	Snack	I would not buy	I would not buy			0				0			Price	Price		0				0				0				0			0				0			0			0			0								Aggregated								
Recording1	Participant 1	Timeline1	Veggie crisps	1	Veggie crisps	Snack	Ingredients		Ingredients		6816	359	84	1388	19	3543	188	Price	Price		6816	359	84	1388	19	3543	188		7320	2440	484	5336	3	3543	1500	7492	2497	520	5408	3	3479	1564	0			0			14	3479	5043	322.19					Aggregated								
Recording1	Participant 1	Timeline1	Veggie crisps	1	Veggie crisps	Snack	Nutrition Label		Nutrition Label		3616	329	160	712	11	6503	160	Price	Price		3616	329	160	712	11	6503	160		3968	3968	3968	3968	1	6503	3968	4080	4080	4080	4080	1	6391	4080	0			0			9	6391	10471	354.43					Aggregated								
Recording1	Participant 1	Timeline1	Veggie crisps	1	Veggie crisps	Snack	Picture		Picture		4723	363	120	1204	13	0	491	Price	Price		4232	353	120	1204	12	523	836		5083	2542	1604	3479	2	0	3479	5151	2576	1672	3479	2	0	3479	0			0			11	10471	3479	366.25					Aggregated								
